Material,Ms (MA/m),Aex (pJ/m),Ku (MJ/m3),Hc (T)
La2Fe14B,1.098,7.41,1.4,0.5
Ce2Fe14B,0.931,6.0,1.7,0.54
Pr2Fe14B,1.241,7.94,4.66,1.54
Nd2Fe14B,1.273,8.23,4.65,1.24
Gd2Fe14B,0.708,9.33,0.85,0.234
Tb2Fe14B,0.557,8.78,6.13,2.93
Dy2Fe14B,0.565,9.42,4.24,1.7
Ho2Fe14B,0.644,8.14,2.42,0.75
Lu2Fe14B,0.931,7.66,1.21,0.294
Y2Fe14B,1.122,8.01,1.46,0.187
Th2Fe14B,1.122,6.77,1.46,0.17
La2Co14B,0.792,15.0,1.189,0.345
Pr2Co14B,1.04,15.1,5.201,2.5
Nd2Co14B,1.076,15.1,2.422,3.694
Gd2Co14B,0.229,15.2,1.034,0.3
Y2Co14B,0.847,15.201,1.187,0.344
Nd-La-Ce-Fe-B,0.746,6.0,2.25,0.652
La-Ce-Y-Fe-B,0.525,6.0,1.5,0.415
NdPrFe14B,1.273,7.7,4.2,0.8
(Nd0.91Ce0.089)2Fe14B,1.242,8.083,4.5,1.1
(Nd0.78Ce0.22)2Fe14B,1.268,7.864,4.6,1.03
(Nd0.62Ce0.38)2Fe14B,1.2,7.673,3.1,0.9
Nd2Fe14B-alloy,1.129,10.0,4.9,1.42
"48H,Nd-Fe-B",1.107,10.0,6.039,1.75
Tb75Cu25,1.081,10.0,10.007,2.9
Tb65Ce10Cu25,1.074,10.0,9.662,2.8
Tb55Ce20Cu25,1.093,10.0,9.662,2.8
Tb45Ce30Cu25,1.097,10.0,9.179,2.66
Tb30Ce45Cu25,1.103,10.0,8.868,2.57
Nd12Fe82B6,1.461,7.651,4.5,1.094
Nd11Ce1Fe82B6,1.354,7.459,4.125,1.04
Nd10Ce2Fe82B6,1.325,7.268,3.75,0.961
Nd8Ce4Fe82B6,1.276,6.886,3.0,0.844
Nd6Ce6Fe82B6,1.208,6.503,2.25,0.768
Nd4Ce8Fe82B6,1.111,6.12,1.95,0.684
Nd2Ce10Fe82B6,1.049,5.738,1.56,0.518
Nd1Ce11Fe82B6,0.905,5.547,1.43,0.405
Ce12Fe82B6,0.751,5.355,1.3,0.315
MnAl(300 K),0.801,3.484,0.15,0.024
CoPt(300 K),0.603,6.77,6.062,0.951
FePt(300 K),1.145,6.66,1.14,0.179
FePd(4 k),1.192,6.507,1.841,0.289
Fe3Sn,1.18,7.772,1.8,1.483
Fe2.5Mn0.5Sn0.95Sb0.05,1.02,6.893,1.15,0.947
Fe1.5Mn1.5Sn0.90Sb0.10,0.68,4.331,0.01,0.008
Fe1.5Mn1.5Sn0.85Sb0.15,0.65,4.285,0.01,0.008
Fe5SN3 (1100 K),0.7,6.398,0.005,0.004
Fe5SN3 (1155 K),0.75,7.599,0.005,0.004
Fe5SN3 Crystal (1100 K),0.7,7.418,0.35,0.288
FeNi(300 K),1.273,3.3,1.323,0.14
Fe5Ge,1.432,14.7,0.23,0.002
L10 FeNi(Si substrate)*,1.193,10.0,0.38,0.029
Fe3Sn0.75Sb0.25∗,1.209,10.0,0.33,0.051
CoFe6Ta∗,1.448,14.9,1.0,0.099
L10FeNi(bulk)∗,1.098,10.0,1.1,0.14
MnAl*,0.636,7.6,0.7,0.186
Nd0.2Zr0.8Fe10Si2∗,0.891,10.0,1.16,0.21
Sm0.7Zr0.3Fe10Si2∗,0.859,10.0,3.5,0.199
Alnico5*,1.12,6.6,0.68,0.071
CoPt*,0.8,14.0,4.9,1.4
FePt*,1.14,12.0,6.6,0.8
SmCo5-A*,0.86,12.0,17.2,7.5
Pr2Co17∗,0.847,4.244,5.09,0.038
Pr1.64Sm0.36Fe17∗,0.749,4.455,2.49,0.019
Sm2Co17,0.97,14.424,3.3,1.25
Nd2Fe14B,1.28,8.965,4.9,2.0
Sm2Fe17N3,1.23,10.966,8.6,2.3
YCo5,0.779,7.11,5.5,3.9
LaCo5,0.712,6.47,6.3,5.25
CeCo5,0.597,5.13,6.4,5.7
PrCo5,0.939,6.96,8.1,5.325
NdCo5,0.933,7.09,0.24,0.15
MMCo5,0.715,4.72,6.4,5.62
MM0.8Sm0.2Co5,0.779,5.757,7.8,6.855
Sm0.6Gd0.4Co5,0.58,5.683,7.7,6.768
Sm2(Co0.7Pe0.3)17,1.154,2.214,3.0,2.637
Sm2(Co0.8Pe0.1)17,1.042,3.174,4.3,3.779
Sm(Co0.87Cu0.13)7.8,0.867,2.436,3.3,2.9
Fe2P∗,0.668,12.17,0.77,0.027
